Step,TotEng
0.0,-2659.6281
100.0,-2668.0671
200.0,-2665.6545
300.0,-2664.7883
400.0,-2660.6616
500.0,-2654.5007
600.0,-2653.2801
700.0,-2647.7175
800.0,-2646.6636
900.0,-2655.1208
1000.0,-2653.9042
1100.0,-2652.8612
1200.0,-2650.1063
1300.0,-2648.919
1400.0,-2647.3575
1500.0,-2647.9955
1600.0,-2650.2828
1700.0,-2649.3587
1800.0,-2651.254
1900.0,-2650.6492
2000.0,-2647.0449
2100.0,-2647.6836
2200.0,-2650.5623
2300.0,-2650.8643
2400.0,-2648.9355
2500.0,-2650.9226
2600.0,-2647.079
2700.0,-2647.5373
2800.0,-2647.997
2900.0,-2649.7252
3000.0,-2649.2436
3100.0,-2649.9397
3200.0,-2647.8001
3300.0,-2647.5333
3400.0,-2647.8824
3500.0,-2649.4336
3600.0,-2649.9348
3700.0,-2648.9036
3800.0,-2648.2166
3900.0,-2649.249
4000.0,-2649.0653
4100.0,-2649.8681
4200.0,-2649.0763
4300.0,-2649.5427
4400.0,-2647.486
4500.0,-2648.1946
4600.0,-2648.4559
4700.0,-2648.2854
4800.0,-2649.1637
4900.0,-2648.5563
5000.0,-2648.4342
5100.0,-2647.2162
5200.0,-2648.0796
5300.0,-2649.2694
5400.0,-2648.0845
5500.0,-2647.9648
5600.0,-2648.9413
5700.0,-2650.1306
5800.0,-2650.7483
5900.0,-2647.2321
6000.0,-2647.4126
6100.0,-2648.6879
6200.0,-2648.5148
6300.0,-2649.3011
6400.0,-2650.4953
6500.0,-2649.8709
6600.0,-2650.4169
6700.0,-2649.3348
6800.0,-2648.578
6900.0,-2647.3929
7000.0,-2648.436
7100.0,-2650.0161
7200.0,-2648.367
7300.0,-2648.037
7400.0,-2649.2803
7500.0,-2648.2911
7600.0,-2650.1819
7700.0,-2650.4759
7800.0,-2648.2251
7900.0,-2650.2369
8000.0,-2647.9982
8100.0,-2651.2306
8200.0,-2649.4668
8300.0,-2648.5269
8400.0,-2647.661
8500.0,-2648.379
8600.0,-2650.7306
8700.0,-2650.0998
8800.0,-2650.2753
8900.0,-2648.4872
9000.0,-2649.4535
9100.0,-2650.341
9200.0,-2649.783
9300.0,-2648.0044
9400.0,-2645.98
9500.0,-2648.8468
9600.0,-2649.1071
9700.0,-2647.791
9800.0,-2647.9821
