Step,TotEng
0.0,-332.45349
100.0,-333.46762
200.0,-333.17011
300.0,-333.0756
400.0,-332.70875
500.0,-332.4967
600.0,-332.78063
700.0,-332.73304
800.0,-332.72905
900.0,-332.77424
1000.0,-332.88095
1100.0,-332.27278
1200.0,-332.32242
1300.0,-332.83462
1400.0,-332.73993
1500.0,-332.62196
1600.0,-332.74242
1700.0,-332.14675
1800.0,-332.37294
1900.0,-332.85164
2000.0,-332.63995
2100.0,-333.00255
2200.0,-332.76645
2300.0,-332.65662
2400.0,-332.56056
2500.0,-332.51405
2600.0,-332.75944
2700.0,-332.92556
2800.0,-332.63136
2900.0,-332.53677
3000.0,-332.19747
3100.0,-332.25741
3200.0,-332.49507
3300.0,-332.96543
3400.0,-332.68794
3500.0,-332.75044
3600.0,-332.31779
3700.0,-332.7373
3800.0,-332.32206
3900.0,-332.52363
4000.0,-332.33352
4100.0,-332.59809
4200.0,-332.50927
4300.0,-332.97128
4400.0,-332.90704
4500.0,-332.45677
4600.0,-332.53395
4700.0,-332.39089
4800.0,-332.28849
4900.0,-332.76671
5000.0,-332.83636
5100.0,-332.74937
5200.0,-332.45664
5300.0,-332.20561
5400.0,-332.17478
5500.0,-332.43501
5600.0,-332.8605
5700.0,-332.54846
5800.0,-332.84255
5900.0,-332.50238
6000.0,-332.42089
6100.0,-332.92007
6200.0,-332.52471
6300.0,-332.65402
6400.0,-332.33356
6500.0,-332.21553
6600.0,-331.99951
6700.0,-332.9119
6800.0,-332.65507
6900.0,-332.75568
7000.0,-332.4351
7100.0,-332.47101
7200.0,-332.37131
7300.0,-332.08365
7400.0,-332.52311
7500.0,-332.67717
7600.0,-332.64937
7700.0,-332.38225
7800.0,-332.48939
7900.0,-332.06878
8000.0,-332.40371
8100.0,-332.70779
8200.0,-332.5678
8300.0,-332.54464
8400.0,-332.74106
8500.0,-332.63907
8600.0,-332.64469
8700.0,-332.83365
8800.0,-332.84031
8900.0,-332.81433
9000.0,-332.92018
9100.0,-332.5228
9200.0,-332.53141
9300.0,-332.61787
9400.0,-332.76879
9500.0,-332.85135
9600.0,-332.57608
9700.0,-332.40528
9800.0,-332.82814
9900.0,-332.81365
10000.0,-332.71113
10100.0,-332.6967
10200.0,-332.70372
10300.0,-331.96375
10400.0,-332.28613
10500.0,-332.30403
10600.0,-332.57091
10700.0,-332.75452
10800.0,-332.63152
10900.0,-332.97507
11000.0,-332.82471
11100.0,-332.65158
11200.0,-332.7229
11300.0,-332.5689
11400.0,-332.51521
11500.0,-332.78527
11600.0,-332.89838
11700.0,-332.49547
11800.0,-332.75805
11900.0,-332.70561
12000.0,-332.67239
12100.0,-332.69944
12200.0,-332.66747
12300.0,-332.81307
12400.0,-332.45492
12500.0,-332.52551
12600.0,-332.21026
12700.0,-332.35386
12800.0,-332.61745
12900.0,-332.18154
13000.0,-332.48305
13100.0,-332.85568
13200.0,-332.84996
13300.0,-333.08205
13400.0,-332.81019
13500.0,-332.63358
13600.0,-332.28765
13700.0,-332.29817
13800.0,-332.37788
13900.0,-332.94055
14000.0,-332.60252
14100.0,-332.38678
14200.0,-332.4366
14300.0,-332.9682
14400.0,-332.90096
14500.0,-332.77247
14600.0,-332.85331
14700.0,-332.58186
14800.0,-332.7387
14900.0,-332.36584
15000.0,-332.57557
15100.0,-332.65004
15200.0,-332.89929
15300.0,-332.81938
15400.0,-332.5635
15500.0,-332.68222
15600.0,-332.50468
15700.0,-332.24685
15800.0,-332.75963
15900.0,-332.66175
16000.0,-332.82393
16100.0,-332.49016
16200.0,-332.16125
16300.0,-332.09906
16400.0,-332.23706
16500.0,-332.61886
16600.0,-332.52124
16700.0,-332.39669
16800.0,-332.49142
16900.0,-331.93563
17000.0,-332.86411
17100.0,-332.4694
17200.0,-332.62975
17300.0,-332.5994
17400.0,-332.50345
17500.0,-331.9838
