Step,TotEng
0.0,-2659.6281
100.0,-2668.1502
200.0,-2665.6955
300.0,-2665.1817
400.0,-2661.8891
500.0,-2657.073
600.0,-2656.2059
700.0,-2653.4903
800.0,-2654.0919
900.0,-2660.6697
1000.0,-2661.6743
1100.0,-2653.4852
1200.0,-2654.6926
1300.0,-2655.0699
1400.0,-2654.9186
1500.0,-2653.5124
1600.0,-2657.013
1700.0,-2653.7533
1800.0,-2658.3864
1900.0,-2655.0374
2000.0,-2654.0885
2100.0,-2654.1455
2200.0,-2655.2531
2300.0,-2656.1464
2400.0,-2654.9982
2500.0,-2654.4189
2600.0,-2655.8135
2700.0,-2654.3741
2800.0,-2654.5724
2900.0,-2655.0338
3000.0,-2654.4685
3100.0,-2654.7583
3200.0,-2653.2634
3300.0,-2654.606
3400.0,-2654.9628
3500.0,-2654.9252
3600.0,-2654.8186
3700.0,-2655.3813
3800.0,-2652.6752
3900.0,-2653.9211
4000.0,-2653.5987
4100.0,-2654.6547
4200.0,-2655.1687
4300.0,-2655.7394
4400.0,-2655.8517
4500.0,-2655.2263
4600.0,-2655.4337
4700.0,-2654.9119
4800.0,-2653.5941
4900.0,-2653.2801
5000.0,-2654.5148
5100.0,-2654.6859
5200.0,-2654.6868
5300.0,-2654.4694
5400.0,-2656.0306
5500.0,-2655.4694
5600.0,-2654.1357
5700.0,-2654.8393
5800.0,-2654.2248
5900.0,-2652.8564
6000.0,-2655.1145
6100.0,-2654.5345
6200.0,-2653.1403
6300.0,-2653.8595
6400.0,-2653.5291
6500.0,-2654.4882
6600.0,-2654.8897
6700.0,-2654.6419
6800.0,-2652.7423
6900.0,-2653.6126
7000.0,-2653.6381
7100.0,-2655.3978
7200.0,-2655.034
7300.0,-2655.1439
7400.0,-2654.5353
7500.0,-2655.5755
7600.0,-2655.0678
7700.0,-2654.7137
7800.0,-2654.6899
7900.0,-2654.0463
8000.0,-2654.5393
8100.0,-2654.6834
8200.0,-2654.9097
8300.0,-2655.8614
8400.0,-2654.898
8500.0,-2655.8684
8600.0,-2655.1597
8700.0,-2653.5566
8800.0,-2654.6323
8900.0,-2653.9761
9000.0,-2654.7919
9100.0,-2655.0321
9200.0,-2654.6776
9300.0,-2654.4235
9400.0,-2653.9655
9500.0,-2653.8997
9600.0,-2656.2401
9700.0,-2653.5287
9800.0,-2654.0184
9900.0,-2655.3261
10000.0,-2655.4617
10100.0,-2654.3227
10200.0,-2653.7231
10300.0,-2652.6565
10400.0,-2653.5453
10500.0,-2654.7912
10600.0,-2654.1666
10700.0,-2655.2214
10800.0,-2654.8932
10900.0,-2653.6341
11000.0,-2655.2206
11100.0,-2655.2815
11200.0,-2656.4562
11300.0,-2654.8624
11400.0,-2653.5124
11500.0,-2654.4232
11600.0,-2655.616
11700.0,-2655.3694
11800.0,-2654.7127
11900.0,-2654.5601
12000.0,-2655.585
12100.0,-2655.7503
12200.0,-2654.7964
12300.0,-2654.3498
12400.0,-2655.2059
12500.0,-2654.3214
12600.0,-2654.5118
12700.0,-2654.1566
12800.0,-2654.6741
12900.0,-2654.0073
13000.0,-2654.9592
13100.0,-2653.6538
13200.0,-2652.9655
13300.0,-2654.3878
13400.0,-2654.9497
13500.0,-2656.8187
13600.0,-2655.0797
13700.0,-2653.6787
13800.0,-2655.0214
13900.0,-2655.9654
14000.0,-2654.802
14100.0,-2655.5273
14200.0,-2655.8487
14300.0,-2654.2143
