#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.74e+01    3.32e+01      1.17e-01    1.31e-01      1.18e+00    1.05e+00    1.0e-03
    100      2.52e+01    3.10e+01      1.06e-01    2.66e-02      7.98e-01    9.80e-01    1.0e-03
    200      2.36e+01    2.22e+01      7.22e-02    1.03e-01      7.47e-01    7.01e-01    1.0e-03
    300      1.65e+01    2.05e+01      1.06e-01    1.13e-01      5.21e-01    6.50e-01    1.0e-03
    400      1.02e+01    1.63e+01      1.31e-01    8.37e-02      3.21e-01    5.16e-01    1.0e-03
    500      1.36e+01    1.63e+01      1.07e-01    1.06e-01      4.29e-01    5.15e-01    1.0e-03
    600      1.60e+01    1.74e+01      1.04e-01    7.34e-02      5.05e-01    5.49e-01    1.0e-03
    700      1.23e+01    1.37e+01      1.33e-02    1.04e-02      3.88e-01    4.33e-01    1.0e-03
    800      8.39e+00    1.12e+01      6.24e-02    5.77e-02      2.65e-01    3.54e-01    1.0e-03
    900      1.50e+01    1.04e+01      8.65e-02    9.48e-02      4.75e-01    3.30e-01    1.0e-03
   1000      1.15e+01    1.34e+01      8.85e-02    7.79e-02      4.04e-01    4.70e-01    8.1e-04
   1100      1.12e+01    1.25e+01      7.50e-03    3.19e-02      3.91e-01    4.37e-01    8.1e-04
   1200      1.24e+01    1.08e+01      1.92e-02    1.46e-02      4.33e-01    3.77e-01    8.1e-04
   1300      9.64e+00    8.47e+00      7.00e-02    7.28e-02      3.38e-01    2.97e-01    8.1e-04
   1400      1.10e+01    1.25e+01      6.61e-02    3.26e-02      3.85e-01    4.38e-01    8.1e-04
   1500      8.48e+00    1.18e+01      6.71e-02    5.08e-02      2.97e-01    4.14e-01    8.1e-04
   1600      1.18e+01    1.13e+01      4.56e-02    3.08e-02      4.13e-01    3.97e-01    8.1e-04
   1700      1.21e+01    1.22e+01      8.07e-02    6.42e-02      4.22e-01    4.28e-01    8.1e-04
   1800      1.08e+01    1.07e+01      5.96e-02    3.38e-02      3.79e-01    3.76e-01    8.1e-04
   1900      1.55e+01    1.11e+01      4.01e-02    4.05e-02      5.44e-01    3.89e-01    8.1e-04
   2000      1.03e+01    1.15e+01      1.58e-03    1.53e-03      4.01e-01    4.45e-01    6.6e-04
   2100      1.01e+01    1.02e+01      5.57e-03    1.17e-02      3.94e-01    3.96e-01    6.6e-04
   2200      1.05e+01    1.03e+01      2.66e-03    5.79e-03      4.07e-01    4.00e-01    6.6e-04
   2300      6.32e+00    9.35e+00      4.73e-03    1.30e-02      2.45e-01    3.63e-01    6.6e-04
   2400      9.93e+00    9.59e+00      1.25e-03    1.33e-02      3.85e-01    3.72e-01    6.6e-04
   2500      1.40e+01    1.07e+01      3.52e-02    1.96e-02      5.42e-01    4.14e-01    6.6e-04
   2600      6.71e+00    8.88e+00      2.69e-02    4.89e-03      2.60e-01    3.45e-01    6.6e-04
   2700      1.02e+01    6.59e+00      1.14e-02    1.17e-02      3.98e-01    2.56e-01    6.6e-04
   2800      1.04e+01    9.17e+00      4.30e-03    1.85e-02      4.04e-01    3.56e-01    6.6e-04
   2900      6.90e+00    9.31e+00      3.21e-02    5.33e-02      2.68e-01    3.61e-01    6.6e-04
   3000      6.91e+00    7.25e+00      4.30e-02    2.63e-02      2.97e-01    3.11e-01    5.4e-04
   3100      8.63e+00    7.75e+00      1.27e-02    6.40e-03      3.71e-01    3.33e-01    5.4e-04
   3200      8.25e+00    9.41e+00      3.71e-03    8.45e-03      3.55e-01    4.05e-01    5.4e-04
   3300      7.95e+00    7.92e+00      1.60e-02    2.12e-02      3.42e-01    3.40e-01    5.4e-04
   3400      8.98e+00    8.17e+00      1.49e-02    1.86e-02      3.86e-01    3.51e-01    5.4e-04
   3500      7.48e+00    8.70e+00      1.29e-02    1.08e-03      3.22e-01    3.74e-01    5.4e-04
   3600      4.42e+00    8.82e+00      1.10e-02    9.88e-03      1.90e-01    3.79e-01    5.4e-04
   3700      6.71e+00    7.57e+00      9.96e-03    7.89e-03      2.89e-01    3.26e-01    5.4e-04
   3800      8.19e+00    7.41e+00      2.22e-02    1.99e-02      3.52e-01    3.19e-01    5.4e-04
   3900      6.67e+00    8.91e+00      1.27e-02    9.43e-03      2.87e-01    3.83e-01    5.4e-04
   4000      1.05e+01    7.47e+00      1.58e-02    9.09e-03      5.00e-01    3.56e-01    4.4e-04
   4100      6.58e+00    5.99e+00      2.14e-03    4.37e-04      3.14e-01    2.85e-01    4.4e-04
   4200      7.51e+00    8.02e+00      2.40e-02    4.21e-03      3.58e-01    3.82e-01    4.4e-04
   4300      6.21e+00    1.01e+01      1.93e-02    1.16e-02      2.96e-01    4.80e-01    4.4e-04
   4400      9.32e+00    6.86e+00      2.24e-02    2.18e-02      4.44e-01    3.27e-01    4.4e-04
   4500      7.75e+00    6.76e+00      1.25e-02    1.61e-04      3.69e-01    3.22e-01    4.4e-04
   4600      5.83e+00    8.19e+00      1.46e-02    1.23e-02      2.78e-01    3.90e-01    4.4e-04
   4700      7.94e+00    5.88e+00      8.58e-03    1.19e-02      3.78e-01    2.80e-01    4.4e-04
   4800      3.51e+00    6.26e+00      1.33e-02    7.10e-03      1.67e-01    2.98e-01    4.4e-04
   4900      7.46e+00    4.45e+00      4.89e-03    2.13e-02      3.55e-01    2.12e-01    4.4e-04
   5000      7.56e+00    4.97e+00      1.35e-02    8.93e-03      3.99e-01    2.62e-01    3.6e-04
   5100      5.61e+00    6.48e+00      8.20e-03    2.02e-03      2.96e-01    3.42e-01    3.6e-04
