#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.88e+01    3.70e+01      7.76e-02    9.52e-02      1.23e+00    1.17e+00    1.0e-03
    100      3.13e+01    3.79e+01      8.29e-02    6.98e-02      9.90e-01    1.20e+00    1.0e-03
    200      1.64e+01    2.38e+01      2.13e-01    2.27e-01      5.20e-01    7.52e-01    1.0e-03
    300      2.02e+01    2.20e+01      2.53e-01    2.18e-01      6.40e-01    6.95e-01    1.0e-03
    400      2.03e+01    2.19e+01      2.00e-01    2.09e-01      6.43e-01    6.93e-01    1.0e-03
    500      2.19e+01    1.94e+01      1.79e-01    1.81e-01      6.94e-01    6.12e-01    1.0e-03
    600      1.72e+01    1.54e+01      1.79e-01    1.75e-01      5.44e-01    4.85e-01    1.0e-03
    700      1.82e+01    2.00e+01      2.51e-01    2.43e-01      5.75e-01    6.33e-01    1.0e-03
    800      1.70e+01    1.79e+01      1.08e-01    1.11e-01      5.39e-01    5.66e-01    1.0e-03
    900      1.95e+01    1.29e+01      1.21e-02    3.74e-02      6.17e-01    4.09e-01    1.0e-03
   1000      1.41e+01    1.83e+01      2.23e-01    1.80e-01      5.26e-01    6.87e-01    7.1e-04
   1100      1.34e+01    1.11e+01      7.97e-02    6.11e-02      5.01e-01    4.15e-01    7.1e-04
   1200      9.62e+00    1.40e+01      2.78e-02    3.77e-02      3.61e-01    5.24e-01    7.1e-04
   1300      1.49e+01    1.47e+01      5.76e-02    7.67e-02      5.60e-01    5.53e-01    7.1e-04
   1400      1.40e+01    1.25e+01      7.39e-02    1.02e-01      5.25e-01    4.67e-01    7.1e-04
   1500      1.31e+01    1.33e+01      1.78e-02    3.07e-02      4.93e-01    4.99e-01    7.1e-04
   1600      1.07e+01    1.47e+01      3.85e-02    2.46e-02      4.02e-01    5.50e-01    7.1e-04
   1700      1.45e+01    1.31e+01      1.57e-01    1.47e-01      5.42e-01    4.90e-01    7.1e-04
   1800      1.19e+01    1.19e+01      4.04e-02    2.08e-02      4.48e-01    4.47e-01    7.1e-04
   1900      1.20e+01    1.19e+01      4.29e-02    3.63e-02      4.48e-01    4.48e-01    7.1e-04
   2000      1.19e+01    1.14e+01      1.69e-01    1.85e-01      5.27e-01    5.03e-01    5.0e-04
   2100      1.18e+01    9.92e+00      3.82e-02    8.51e-03      5.24e-01    4.41e-01    5.0e-04
   2200      9.51e+00    1.10e+01      3.08e-02    2.86e-02      4.23e-01    4.91e-01    5.0e-04
   2300      1.01e+01    1.16e+01      2.91e-02    4.04e-02      4.50e-01    5.18e-01    5.0e-04
   2400      1.08e+01    1.04e+01      2.74e-02    4.32e-02      4.79e-01    4.63e-01    5.0e-04
   2500      9.82e+00    1.01e+01      1.79e-02    1.65e-02      4.37e-01    4.51e-01    5.0e-04
   2600      9.89e+00    1.15e+01      1.32e-03    2.55e-02      4.40e-01    5.09e-01    5.0e-04
   2700      9.56e+00    8.01e+00      6.01e-02    3.92e-02      4.25e-01    3.56e-01    5.0e-04
   2800      1.28e+01    1.13e+01      1.37e-02    1.73e-02      5.67e-01    5.04e-01    5.0e-04
   2900      1.20e+01    1.21e+01      4.34e-02    7.36e-02      5.32e-01    5.38e-01    5.0e-04
   3000      9.44e+00    9.36e+00      2.98e-02    1.04e-02      4.98e-01    4.94e-01    3.6e-04
   3100      9.67e+00    7.48e+00      4.23e-02    4.20e-02      5.10e-01    3.94e-01    3.6e-04
   3200      9.01e+00    8.00e+00      2.44e-02    1.94e-02      4.75e-01    4.22e-01    3.6e-04
   3300      1.06e+01    8.31e+00      1.30e-03    2.50e-02      5.60e-01    4.38e-01    3.6e-04
